KO,pathway,description,name
K00370,nitrate reduction,"narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]",Nitrate reductase / nitrite oxidoreductase subunit alpha
K08348,formate oxidation,"fdnG; formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]",Formate dehydrogenase-N subunit alpha
K02274,oxygen,"coxA, ctaD; cytochrome c oxidase subunit I [EC:7.1.1.9]",Cytochrome c oxidase subunit I
K00404,oxygen,ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9],Cytochrome c oxidase cbb3-type subunit I
K02297,oxygen,cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3],Cytochrome o ubiquinol oxidase subunit II
K00426,oxygen,cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7],Cytochrome bd ubiquinol oxidase subunit II
K00123,formate oxidation,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",Formate dehydrogenase major subunit
K18016,H2 oxidation,mbhL; membrane-bound hydrogenase subunit alpha [EC:1.12.7.2],Membrane-bound hydrogenase subunit alpha
K14028,methanol oxidation,"mdh1, mxaF; methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]",Methanol dehydrogenase (cytochrome c) subunit 1
K02586,N2 fixation,nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1],Nitrogenase alpha chain
K02591,N2 fixation,nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1],Nitrogenase beta chain
K02588,N2 fixation,nifH; nitrogenase iron protein NifH,Nitrogenase iron protein
K18603,3HP/4HB,acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3],Acetyl/propionyl-CoA carboxylase
K18605,3HP/4HB,biotin carboxyl carrier protein,Biotin carboxyl carrier protein
K18604,3HP/4HB,acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15],Acetyl/propionyl-CoA carboxylase
K15039,3HP/4HB,3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298],3-Hydroxypropionate dehydrogenase
K18602,3HP/4HB,malonic semialdehyde reductase [EC:1.1.1.-],Malonic semialdehyde reductase
K08093,RuMP,3-hexulose-6-phosphate synthase [EC:4.1.2.43],3-Hexulose-6-phosphate synthase
K13812,RuMP,bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43],Bifunctional Fae/Hps enzyme
K13831,RuMP,3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27],3-Hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase
K08094,RuMP,6-phospho-3-hexuloisomerase [EC:5.3.1.27],6-Phospho-3-hexuloisomerase
K13831,RuMP,3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27],3-Hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase
K00605,Serine Cycle,glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10],Glycine cleavage T protein
K00436,H2 oxidation,NAD-reducing hydrogenase large subunit [EC:1.12.1.2],NAD-reducing hydrogenase large subunit
K06281,H2 oxidation,hydrogenase large subunit [EC:1.12.99.6],Hydrogenase large subunit
K00122,formate oxidation,formate dehydrogenase [EC:1.17.1.9],Formate dehydrogenase
K00532,formate oxidation,ferredoxin hydrogenase [EC:1.12.7.2],Ferredoxin hydrogenase
K00533,formate oxidation,ferredoxin hydrogenase large subunit [EC:1.12.7.2],Ferredoxin hydrogenase large subunit
K00093,methanol oxidation,methanol dehydrogenase [EC:1.1.1.244],Methanol dehydrogenase
